dashboard.html	/api/admin/activity-logs?facility_code=${FACILITY}&limit=100
dashboard.html	/api/admin/customers/tickets
dashboard.html	/api/admin/customers/upsert
dashboard.html	/api/admin/customers?facility_code=${FACILITY}
dashboard.html	/api/admin/customers?facility_code=${FACILITY}&q=${encodeURIComponent
dashboard.html	/api/admin/dashboard?facility_code=${FACILITY}&date=${date}
dashboard.html	/api/admin/dashboard?facility_code=${FACILITY}&date=${todayYmd
dashboard.html	/api/admin/demo-prepare
dashboard.html	/api/admin/inquiries/status
dashboard.html	/api/admin/inquiries?facility_code=${FACILITY}
dashboard.html	/api/admin/reservations
dashboard.html	/api/admin/reservations/status
dashboard.html	/api/admin/reservations?${q}
dashboard.html	/api/admin/settings
dashboard.html	/api/admin/settings?facility_code=${FACILITY}
dashboard.html	/api/public/availability?${q}
dashboard.html	/api/public/facility?facility_code=${FACILITY}
index.html	/api/member/home?${query.toString
index.html	/api/public/availability?${query.toString
index.html	/api/public/facility?facility_code=${encodeURIComponent
index.html	/api/public/reservations
member.html	/api/member/home?${query.toString
member.html	/api/member/inquiries
member.html	/api/member/reservations/${endpoint}
member.html	/api/public/facility?facility_code=${encodeURIComponent
owner-ipad.html	/api/admin/customers/tickets
owner-ipad.html	/api/admin/customers?facility_code=${FACILITY}&q=${encodeURIComponent
owner-ipad.html	/api/admin/dashboard?facility_code=${FACILITY}&date=${date}
owner-ipad.html	/api/admin/dashboard?facility_code=${FACILITY}&date=${todayYmd
owner-ipad.html	/api/admin/demo-prepare
owner-ipad.html	/api/admin/inquiries/status
owner-ipad.html	/api/admin/inquiries?facility_code=${FACILITY}
owner-ipad.html	/api/admin/reservations/status
owner-ipad.html	/api/admin/reservations?${query}
owner-ipad.html	/api/public/facility?facility_code=${FACILITY}
system-check.html	/api/admin/demo-prepare
system-check.html	/api/admin/phone-normalize-check
system-check.html	/api/admin/system-check?facility_code=${encodeURIComponent
system-check.html	/api/health
system-check.html	/api/public/facility?facility_code=${encodeURIComponent
